0    0    997
510    22    579
819    56    55
716    56    146
463    59    273
519    79    961
738    87    389
456    97    457
555    97    271
672    149    41
257    217    438
858    249    573
761    285    615
233    365    890
766    405    875
178    472    923
679    532    149
154    580    547
471    631    975
465    631    721
238    631    665
354    631    889
244    704    416
660    704    775
898    704    703
287    704    531
998    704    391
65    704    358
648    757    732
616    821    718
386    910    167
102    943    930
718    943    197
593    943    705
14    965    457
541    975    104
385    996    959
110    1095    775
630    1097    891
77    1145    240
550    1145    923
61    1163    778
13    1163    855
754    1220    534
256    1297    540
144    1369    827
203    1369    475
394    1443    218
176    1485    54
216    1485    973
703    1548    381
678    1565    311
375    1581    14
272    1608    585
626    1612    228
333    1648    522
587    1738    699
167    1738    588
884    1821    665
136    1874    818
925    1874    679
584    1920    472
243    1945    919
83    2037    775
946    2123    93
474    2123    225
436    2151    239
429    2151    347
332    2151    585
728    2249    248
768    2287    789
638    2346    81
306    2444    287
534    2444    369
770    2477    701
944    2573    827
991    2573    483
835    2588    617
851    2600    198
310    2652    283
837    2652    248
47    2696    844
960    2729    519
745    2761    100
108    2761    213
268    2808    358
311    2813    760
876    2819    195
772    2850    241
874    2912    850
314    2934    23
382    2979    808
472    2979    332
124    3060    547
951    3082    636
855    3139    683
818    3196    178
611    3279    469
348    3336    585
17    3388    569
